2026-07-05 08:00:22 | INFO     | src.core.market_review | src\core\market_review.py:217 | [MarketReview] component=market_review action=start trigger_source=daily_market_context query_id=market_context_d236c6bfc714410bbe8c51f9c0782c55_cn region=cn
2026-07-05 08:00:22 | INFO     | src.core.market_review | src\core\market_review.py:271 | [MarketReview] component=market_review action=build_report trigger_source=daily_market_context query_id=market_context_d236c6bfc714410bbe8c51f9c0782c55_cn region=cn label=A 股
2026-07-05 08:00:22 | INFO     | data_provider.base | data_provider\base.py:1232 | 已初始化 6 个数据源（按优先级）: EfinanceFetcher(P0), TencentFetcher(P0), AkshareFetcher(P1), PytdxFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-07-05 08:00:22 | INFO     | src.market_analyzer | src\market_analyzer.py:1782 | ========== 开始大盘复盘分析 ==========
2026-07-05 08:00:22 | INFO     | src.market_analyzer | src\market_analyzer.py:457 | [大盘] component=market_review region=cn action=get_main_indices status=start
2026-07-05 08:00:25 | INFO     | data_provider.efinance_fetcher | data_provider\efinance_fetcher.py:857 | [API调用] ef.stock.get_realtime_quotes(['沪深系列指数']) 获取指数行情...
2026-07-05 08:00:25 | WARNING  | urllib3.connectionpool | .venv\lib\site-packages\urllib3\connectionpool.py:869 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297
2026-07-05 08:00:25 | WARNING  | urllib3.connectionpool | .venv\lib\site-packages\urllib3\connectionpool.py:869 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297
2026-07-05 08:00:25 | WARNING  | urllib3.connectionpool | .venv\lib\site-packages\urllib3\connectionpool.py:869 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297
2026-07-05 08:00:25 | WARNING  | urllib3.connectionpool | .venv\lib\site-packages\urllib3\connectionpool.py:869 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297
2026-07-05 08:00:25 | WARNING  | urllib3.connectionpool | .venv\lib\site-packages\urllib3\connectionpool.py:869 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297
2026-07-05 08:00:25 | ERROR    | data_provider.efinance_fetcher | data_provider\efinance_fetcher.py:918 | [efinance] 获取指数行情失败: HTTPConnectionPool(host='push2.eastmoney.com', port=80): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=200&po=1&np=1&fltt=2&invt=2&fid=f12&fs=m%3A1+s%3A2%2Cm%3A0+t%3A5&fields=f12%2Cf14%2Cf3%2Cf2%2Cf15%2Cf16%2Cf17%2Cf4%2Cf8%2Cf10%2Cf9%2Cf5%2Cf6%2Cf18%2Cf20%2Cf21%2Cf13%2Cf124%2Cf297 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))
